Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,15544.0,,,,,,4802409.0,GA,165432.0,73.0,,,,,,26645.0,21702946.0,7974301.0,,162128.0,,1937.0,7558.0,,,4523046.0,2014-01-01 00:00:00,2014-12-31,2014
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,20026.0,,,,,,26106583.0,ME,1403654.0,68.0,,,,,,24752.0,75587274.0,39015136.0,,1459765.0,,1464.0,4322.0,,,35684569.0,2014-09-28 00:00:00,2015-09-26,2014
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,22821.0,,,,,,9515874.0,AZ,125180.0,72.0,,,,,,26280.0,32518100.0,12758338.0,,122674.0,,2437.0,1358.0,,,-3524031.0,2014-01-01 00:00:00,2014-12-31,2014
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,3651.0,386693.0,,,,,4332829.0,LA,2512747.0,25.0,4545782.0,,689296.0,,,9125.0,13608244.0,13228917.0,738268.0,1929088.0,,50.0,3604.0,830474.0,0.972125,5266172.0,2014-07-01 00:00:00,2015-06-30,2014
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,17968.0,,,,,,6387125.0,LA,,54.0,,,,,,19710.0,21556880.0,10067638.0,,,,2059.0,3497.0,,,10907793.0,2013-12-01 00:00:00,2014-11-30,2014
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,7105.0,,,,,,3110958.0,TX,6954.0,149.0,2714213.0,,,,,54385.0,16022354.0,8379110.0,,6814.0,,554.0,6050.0,,,5006270.0,2014-01-01 00:00:00,2014-12-31,2014
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,8056.0,,,,,,2386701.0,OH,,52.0,,,,,,18980.0,16032701.0,4508911.0,,,,636.0,4663.0,,,1622614.0,2014-01-01 00:00:00,2014-12-31,2014
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,7310.0,,,,,,7160566.0,NJ,672.0,50.0,,,,,,12150.0,74059647.0,12067950.0,,659.0,,244.0,5914.0,,,14300494.0,2014-01-01 00:00:00,2014-08-31,2014
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,10804.0,,,,,,10909958.0,NJ,2741.0,50.0,,,,,,18250.0,111434510.0,18560600.0,,2686.0,,355.0,8717.0,,,13546305.0,2014-09-01 00:00:00,2015-08-31,2014
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,842971.0,1001.0,,,,,,9475585.0,NM,1079589.0,6.0,5760819.0,966803.0,,,,2190.0,164549.0,10699508.0,,1329054.0,,241.0,573.0,,,,2013-10-01 00:00:00,2014-09-30,2014
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,2442.0,,,,,,1883541.0,TX,614.0,30.0,,,,,,2760.0,12890597.0,4367808.0,,601.0,,86.0,1517.0,,,9630364.0,2014-06-01 00:00:00,2014-08-31,2014
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,9931.0,,,,,,7657348.0,TX,3763.0,30.0,,,,,,10950.0,52973269.0,17556293.0,,3688.0,,343.0,6056.0,,,9831745.0,2014-09-01 00:00:00,2015-08-31,2014
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,9900.0,,,,,,8583386.0,NJ,32904.0,30.0,,,,,,10950.0,142055833.0,19026541.0,,32245.0,,330.0,7242.0,,,4309630.0,2014-09-01 00:00:00,2015-08-31,2014
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,14289.0,,,,,,7804299.0,OH,25275.0,72.0,,,,,,17496.0,84619053.0,18461829.0,,24769.0,,555.0,9620.0,,,4544445.0,2014-01-01 00:00:00,2014-08-31,2014
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,21604.0,,,,,,12441860.0,OH,26494.0,72.0,,,,,,26280.0,131003928.0,32498471.0,,25964.0,,815.0,14844.0,,,10598670.0,2014-09-01 00:00:00,2015-08-31,2014
ACUITY SPECIALTY HOSPITAL - MESA (032007),General Long Term,Proprietary-Corporation,,10193.0,,,,,,8473968.0,AZ,1074.0,69.0,,,,,,23322.0,72691037.0,20816468.0,,1053.0,,395.0,7345.0,,,3731588.0,2014-06-28 00:00:00,2015-05-31,2014
ACUITY SPECIALTY HOSPITAL - SUN CITY (032008),General Long Term,Proprietary-Corporation,,3419.0,,,,,,7162366.0,AZ,396.0,49.0,,,,,,16562.0,31216402.0,15264670.0,,388.0,,137.0,2618.0,,,9358906.0,2014-06-28 00:00:00,2015-05-31,2014
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,4888.0,,,,,,3043855.0,OH,,30.0,3319563.0,,,,,10950.0,13694445.0,6686663.0,,,,191.0,2692.0,,,421167.0,2013-10-01 00:00:00,2014-09-30,2014
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4802472.0,6109.0,,,,,31386.0,12070649.0,OK,491269.0,30.0,5367923.0,4915374.0,,,,10950.0,25008371.0,12748270.0,,483830.0,,1720.0,3902.0,,,,2014-07-01 00:00:00,2015-06-30,2014
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,751.0,386498.0,,,,,4483368.0,IA,1801958.0,25.0,,,1465424.0,46652.0,,9125.0,12050995.0,10213766.0,400977.0,1875836.0,,98.0,643.0,1877681.0,0.847545,15188574.0,2014-07-01 00:00:00,2015-06-30,2014
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,3437.0,1632199.0,,,,,8693287.0,OH,2319108.0,25.0,,,2616406.0,1183761.0,,9125.0,50583991.0,20655146.0,2024400.0,2815201.0,,832.0,2016.0,10367697.0,0.408334,29315961.0,2014-01-01 00:00:00,2014-12-31,2014
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,6198.0,2488015.0,,,,,21051570.0,IN,2269742.0,25.0,,,986299.0,,4.0,9125.0,86321607.0,37888468.0,5694500.0,2526289.0,,1512.0,2772.0,6656488.0,0.438922,41819252.0,2014-01-01 00:00:00,2014-12-31,2014
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21132924.0,37474.0,485024.0,,,,,15936287.0,MA,1675057.0,114.0,16167691.0,19724891.0,7117339.0,,,41610.0,62611762.0,30833996.0,3012000.0,1638951.0,,6198.0,18268.0,18690991.0,0.492463,8975266.0,2013-10-01 00:00:00,2014-09-30,2014
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,36624833.0,37468.0,7958599.0,,,89208.0,-10528.0,159313156.0,OH,27994236.0,189.0,81009093.0,30037419.0,39909976.0,3706652.0,12.0,68985.0,861332841.0,212625391.0,16107183.0,27627763.0,,10339.0,13899.0,185625444.0,0.246856,224116723.0,2014-01-01 00:00:00,2014-12-31,2014
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8213210.0,8817.0,1802374.0,,,,-12566.0,40368776.0,NY,7697470.0,83.0,33282811.0,8134789.0,6538704.0,318323.0,8.0,30295.0,163584959.0,76611565.0,3327790.0,7616455.0,,2004.0,3807.0,22910970.0,0.468329,27481794.0,2014-01-01 00:00:00,2014-12-31,2014
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1857640.0,25687.0,27877.0,,,,,82277103.0,PR,143821.0,71.0,51505619.0,1947041.0,,,71.0,25915.0,183714401.0,152257539.0,33636.0,140930.0,,1703.0,990.0,,0.828773,477202304.0,2014-07-01 00:00:00,2015-06-30,2014
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,5827.0,,,,,,3649724.0,NM,7552.0,20.0,,,,,,7300.0,18965453.0,8354703.0,,7401.0,,234.0,2823.0,,,99771117.0,2014-03-01 00:00:00,2015-02-28,2014
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,3865.0,,,,,,2090038.0,AR,9066.0,27.0,,,,,,9855.0,14670021.0,5879079.0,,8885.0,,135.0,2646.0,,,392314.0,2014-09-01 00:00:00,2015-08-31,2014
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,6131.0,,,,,,2769160.0,AR,,25.0,,,,,,9125.0,22175290.0,7267307.0,,,,217.0,4368.0,,,454792.0,2014-09-01 00:00:00,2015-08-31,2014
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,10472.0,,,,,,7351745.0,MT,,40.0,,,,,,14600.0,29435602.0,15118562.0,,,,373.0,5760.0,,,165083728.0,2014-09-01 00:00:00,2015-08-31,2014
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,5285.0,,,,,,2779916.0,AR,,27.0,,,,,,9855.0,25061397.0,6233125.0,,,,224.0,4185.0,,,723108.0,2013-10-01 00:00:00,2014-09-30,2014
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,9662.0,,,,,,4940612.0,OH,717.0,40.0,,,,,,14600.0,35548312.0,12372370.0,,795.0,1.67,398.0,4839.0,,,1346394.0,2014-03-01 00:00:00,2015-02-28,2014
ADVANCED SPECIALTY OF GREENBRIAR (363032),Rehabilitation,Proprietary-Corporation,,1075.0,,,,,,375758.0,OH,,29.0,,,,,,5278.0,1457573.0,1149403.0,,,,98.0,719.0,,,134140.0,2014-01-01 00:00:00,2014-07-01,2014
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1610758.0,1525.0,,,,,5708.0,4028354.0,PA,616189.0,14.0,4223541.0,1358468.0,1078.0,,,5110.0,63355596.0,13784540.0,,603934.0,,544.0,398.0,37386.0,0.217574,1061203.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,,29922.0,,,,,,23401287.0,MD,20389.0,107.0,13849924.0,,,,,39055.0,36669402.0,21940467.0,,19980.0,1.13,3050.0,5982.0,,,11436576.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,17243189.0,20611.0,4405690.0,,,,-2539.0,36414964.0,IL,5623409.0,138.0,36886666.0,15638873.0,8337260.0,2687580.0,12.0,50370.0,431084439.0,93106633.0,7409366.0,5693307.0,,5549.0,7107.0,91826567.0,0.215982,110301382.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,15046609.0,23975.0,3502051.0,,,,-9688.0,37643891.0,IL,3013467.0,117.0,30370782.0,13571892.0,20034969.0,2573282.0,10.0,42705.0,239458291.0,62905928.0,3251083.0,3099315.0,,4859.0,9129.0,72583440.0,0.262701,25379338.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,96233690.0,79420.0,7248057.0,,,,299212.0,143561406.0,CA,14003863.0,330.0,140007108.0,90887462.0,37649170.0,4542494.0,,120450.0,2045928447.0,362355378.0,12224522.0,14165086.0,21.14,17297.0,32897.0,417363608.0,0.17711,238501331.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2750878.0,6720.0,4466695.0,,,,1382.0,21843403.0,CA,1073437.0,49.0,16262685.0,2406890.0,13454597.0,324157.0,,17885.0,158449001.0,51096879.0,12829017.0,1049928.0,1.59,2050.0,913.0,94220244.0,0.322482,63535903.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,40002758.0,50678.0,3178450.0,,,,9481.0,107943986.0,IL,18208404.0,240.0,87017585.0,35245528.0,7470726.0,1565828.0,59.0,87600.0,940975863.0,226404729.0,6390928.0,17994034.0,27.05,10931.0,17167.0,72594662.0,0.240606,224150484.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,47534021.0,40014.0,4106886.0,,,,172294.0,72054840.0,IL,15345931.0,159.0,67164139.0,42877804.0,7915067.0,2542709.0,27.0,67734.0,671878103.0,158794175.0,6209498.0,15173626.0,22.08,8954.0,23393.0,54066546.0,0.236344,173256693.0,2013-11-01 00:00:00,2014-12-31,2014
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,27018738.0,32818.0,7614447.0,,,,16182.0,131290019.0,OR,8891618.0,168.0,85508115.0,24558175.0,36295988.0,3351201.0,12.0,61320.0,770659486.0,223180811.0,14530233.0,8937032.0,,8651.0,7192.0,148079289.0,0.289597,88228084.0,2014-01-01 00:00:00,2014-12-31,2014
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Voluntary Nonprofit-Church,,24473.0,-9830.0,,,,,21171197.0,MD,-548.0,87.0,19252033.0,,,,,31755.0,63177800.0,34919871.0,,1320.0,,1817.0,13645.0,,0.552724,7365001.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE BROMENN MEDICAL CENTER (140127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,26709386.0,33377.0,11274848.0,,,,33045.0,54544883.0,IL,7943751.0,189.0,52173710.0,23797105.0,14474934.0,8411913.0,30.0,68985.0,451743284.0,124318105.0,10146988.0,8122447.0,12.14,8407.0,11625.0,69319251.0,0.275196,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,203285474.0,193857.0,32396009.0,,,,356658.0,318435068.0,IL,35257495.0,589.0,290328544.0,182868060.0,146977735.0,14571010.0,140.0,214985.0,2924049478.0,796287899.0,64542794.0,34423250.0,229.7,37336.0,61811.0,650451306.0,0.272324,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,1661.0,693977.0,,,,,5499790.0,IL,1842328.0,23.0,,,408696.0,366771.0,,8395.0,25786639.0,11813496.0,772000.0,1991514.0,,314.0,1196.0,3281116.0,0.458125,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,61864803.0,61477.0,12020075.0,,,,101109.0,114325196.0,IL,19718195.0,290.0,106011084.0,54405816.0,13889613.0,7274389.0,55.0,105850.0,1250181333.0,292294681.0,19757528.0,19694640.0,,14447.0,25704.0,127655598.0,0.233802,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,126655417.0,132083.0,18700013.0,,,,445105.0,227813467.0,IL,32242591.0,530.0,204397845.0,114465707.0,44191415.0,12285435.0,29.0,193450.0,2080007199.0,541330057.0,23701541.0,31677477.0,208.71,30003.0,41684.0,340476301.0,0.260254,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,47973318.0,56569.0,15241635.0,,,101431.0,-10284.0,130466987.0,IL,15804170.0,259.0,103842065.0,44243168.0,83140228.0,9187662.0,66.0,94535.0,1324298631.0,283633472.0,26360217.0,16207915.0,179.93,12408.0,12087.0,295830621.0,0.214176,102518000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE SHERMAN HOSPITAL (140030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,54195234.0,63726.0,15263401.0,,,,205352.0,97987216.0,IL,21121117.0,255.0,97777626.0,48609548.0,25089216.0,11422636.0,30.0,93075.0,1265794392.0,264155228.0,17385381.0,20852503.0,,14186.0,25399.0,181007305.0,0.208687,358308000.0,2014-01-01 00:00:00,2014-12-31,2014
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,31029785.0,40468.0,8056524.0,,,,41114.0,54462584.0,IL,5188479.0,188.0,55212444.0,27662476.0,35024969.0,3383129.0,24.0,68620.0,549936048.0,136517450.0,18109357.0,5466449.0,,9694.0,14216.0,170251780.0,0.248242,3509147000.0,2014-01-01 00:00:00,2014-12-31,2014
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16725026.0,20779.0,2696560.0,,,,-22198.0,33685013.0,OH,4794395.0,107.0,30777398.0,14578024.0,9728185.0,1456240.0,21.0,39055.0,472871828.0,85356958.0,6319178.0,4815194.0,17.63,4455.0,7221.0,79749080.0,0.180508,98144783.0,2014-07-01 00:00:00,2015-06-30,2014
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,32381613.0,46929.0,12537732.0,,,80772.0,-55677.0,51106072.0,SC,10502464.0,197.0,48887914.0,28435762.0,27133378.0,8962443.0,22.0,64484.0,694903554.0,138979466.0,16890116.0,10632253.0,4.86,10063.0,18423.0,134056801.0,0.199998,-45095150.0,2014-01-01 00:00:00,2014-12-31,2014
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,78131810.0,88313.0,22003576.0,,,,153788.0,183039480.0,OH,26444015.0,330.0,143537909.0,70169582.0,48421196.0,6812966.0,35.0,120450.0,1743261273.0,380395406.0,68621375.0,26137529.0,131.87,19968.0,29974.0,287696274.0,0.218209,321198140.0,2014-01-01 00:00:00,2014-12-31,2014
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,27845735.0,41450.0,18753145.0,,,,,83291183.0,NC,14280347.0,182.0,73487625.0,24826124.0,16332862.0,12305038.0,32.0,66430.0,457524828.0,184813754.0,16158394.0,14453038.0,,9889.0,11921.0,57450119.0,0.403943,31363601.0,2013-10-01 00:00:00,2014-09-30,2014
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,40182908.0,48348.0,56810571.0,,,,-70068.0,241508407.0,CA,11829585.0,198.0,167451778.0,41891711.0,103892981.0,37811083.0,20.0,72270.0,1471868181.0,473764707.0,58824082.0,12742680.0,102.38,10651.0,7570.0,831143850.0,0.32188,717439955.0,2014-07-01 00:00:00,2015-06-30,2014
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2270944.0,1561.0,768435.0,,,,-11122.0,7391393.0,CA,648671.0,100.0,5684488.0,2113479.0,2013654.0,122938.0,,6100.0,50733311.0,21146001.0,1556395.0,635700.0,,522.0,792.0,16109235.0,0.416807,491047573.0,2014-05-01 00:00:00,2014-06-30,2014
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,13936733.0,10737.0,7497886.0,,,,-65429.0,41677649.0,CA,5048686.0,100.0,31708478.0,12755323.0,10717529.0,3702512.0,,36500.0,321243574.0,102211908.0,11882238.0,4988364.0,,2354.0,5268.0,85740232.0,0.318176,717439955.0,2014-07-01 00:00:00,2015-06-30,2014
ALASKA NATIVE MEDICAL CENTER (020026),General Short Term (Acute Care Hospitals),Governmental- Federal,30702375.0,35000.0,,,,,-71565.0,141307589.0,AK,14856159.0,152.0,92900639.0,28060794.0,,,,55480.0,3983364.0,280195654.0,,14387679.0,,6768.0,7398.0,,,,2013-10-01 00:00:00,2014-09-30,2014
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-Hospital District,,23643.0,-27117.0,,,,,17509916.0,AK,18326.0,80.0,17149886.0,,,,,29200.0,31235477.0,32758138.0,,13531.0,,1676.0,2759.0,,1.048748,,2014-07-01 00:00:00,2015-06-30,2014
ALASKA REGIONAL HOSPITAL (020017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,31516372.0,23191.0,10295969.0,,,75053.0,-24043.0,54054143.0,AK,5222582.0,116.0,51691254.0,29517942.0,15535874.0,6787212.0,24.0,40800.0,657467002.0,149599114.0,15281101.0,5174320.0,,5090.0,8635.0,68563000.0,0.227539,-141894129.0,2014-01-01 00:00:00,2014-12-31,2014
ALASKA SPECIALTY HOSPITAL  LLC (022001),General Long Term,Proprietary-Partnership,,11649.0,,,,,,16779039.0,AK,,59.0,,,,,,21716.0,71389786.0,36858438.0,,,,319.0,5834.0,,,30350659.0,2014-01-01 00:00:00,2014-12-31,2014
